topic,manuscript_reference,source_host,source_path,source_revision_or_archive_hash,bytes,sha256,model_variant,licence,provenance_level,disposition,remaining_blocker
emergent archive copy A,emergent constraints,ada-30,data/nicolaiplots/plots.tar,archive-sha256,559450108,43923f2cf9563ec19273ad98a7422737448749ed7f8d6bddb92e5e590f8ef36c,GCMagicc-PM,CC-BY-4.0,archive,external duplicate archive,raw CMIP6 ERA5 and checkpoint to trend provenance unavailable
emergent archive copy B,emergent constraints,ada-30,data/nicolaiplots/plotsT1.tar,archive-sha256,559450108,43923f2cf9563ec19273ad98a7422737448749ed7f8d6bddb92e5e590f8ef36c,GCMagicc-PM,CC-BY-4.0,archive,external duplicate archive,raw CMIP6 ERA5 and checkpoint to trend provenance unavailable
emergent model trends,emergent constraints,ada-30,data/nicolaiplots/plotsT1/plots_emergent_constraint/figchangeeraSsmall_1/trends_ssp_True_6.csv,archive-member,43356,eafe8ec0c39f15f74a6d5cf626b9a21b657eb5b64988719c6e089a573eed67fa,GCMagicc-PM,CC-BY-4.0,prepared data,committed normalized copy,none for prepared-data plotting
resolution sensitivity,resolution sensitivity,ada-30,data/nicolaiplots/plotsT1/plots_resolutions/RESOLUTIONPLOTS/run_meta.json,archive-member,1218,48f3e7eb595767ec5bde1079cca77f396dc31f3abac1e253f86b9e98970d980c,GCMagicc-CE,CC-BY-4.0,run metadata,normalized metadata and ten PDFs committed,gcmagicc-ce-checkpoints required for raw recomputation
aerosol sensitivity,aerosol sensitivity,ada-30,data/nicolaiplots/plotsT1/plots_aerosol/DAER3_tasmax_mean/aer_ERF_matrix_3xn_shared_cbar.pdf,archive-member,1544364,1ce66f097dc5319f85b61c11323d7343a48bdb9e689a088ee6caabb761d4204d,GCMagicc-CE,CC-BY-4.0,figure plus generator,eleven maps combined PDF and normalized source committed,2015-2024 period remains provisional and checkpoints remain external
GCMagicc-XS monthly predictions,GCMagicc-XS extrapolation,ada-30,data/GCMagicc-XS_data/full_monthly_results.csv,content-hash snapshot,1528623568,9436752a1d2a0b2af0d707bab9776d4cc8f874968cc2ad472c8ad16c4a5dca68,GCMagicc-XS,CC-BY-4.0,raw plotted data,external with deterministic compact plotted points committed,gcmagicc-xs-bundle required for full raw recomputation
validation metrics database,validation diagnostics and observational alignment,ada-30,data/metric_databases/metrics.sqlite snapshot 2026-04-20,content-hash snapshot,11919757312,34feda39f369142300224773efde1c5e80c32133cc4c324d20de83403239fb03,GCMagicc evaluation suite,CC-BY-4.0,audited database,external and linked to frozen audit,validation-metrics-sqlite publication
validation diagnostics,validation diagnostics,gus,data/manuscript_figures/validation_diagnostics/publication_set_v100/v100/main/validation_diagnostics_main_v100_20260810_0845.pdf,main-gus-b1af6a4 plus generator snapshots,1414595,c9d7e229fd69e930ffef22148e2772fbd589e5b6ab220faf1426f127611d750a,GCMagicc,CC-BY-4.0,authoritative August publication set,current main PDF and supplementary draws s01-s10 committed,raw validation database remains external
observational alignment,observational alignment,gus,data/manuscript_figures/observational_alignment/observational_alignment_v100_20260807_110344.json,main-gus-b1af6a4 plus generator sha256 15de2923f3b135fb4fa60b3d568ae54ff4fe4b4d088612badbf185c3518ddc1a,1171504,bd7faae073eaa3fcae1e1cb6afb7b801b93d1f6445e9841a7c1333595290e4b7,GCMagicc,CC-BY-4.0,authoritative August bundle,normalized JSON panel tables PDF and PNG committed,raw validation database remains external
SPEI sensitivity,SPEI sensitivity,gus,data/spei_sensitivity/iran_smile_full_20260722/period_attribution.csv,ada-main-16c9d72,1418805,4b53bf6533192b81402147bbd58e7527d1869d00d5459fc5d78880bf62982525,GCMagicc and GCMagicc-CE,CC-BY-4.0,prepared data,normalized period and reference tables plus semantic PDF committed,canonical untracked SMILE manifest remains on Gus
crop failure,none,ada-30,data/manuscript_figures/figure3_crop_failure/Figure3_CropFailure.png,content-hash snapshot,177704,bd55eee4e8af48396e48c6b26e91b2d9e3a97e36df5a22696696fac77af5da9e,GCMagicc,CC-BY-4.0,figure only,excluded by author instruction,not used in authoritative manuscript
ten-variable scenario projections,none,ada-30,notebooks/1025_FigureSX_ScenarioProjections_pervar.py,ada-main-16c9d72,38724,be7c3609cc9822d598a26cfb6386ceac1ceb4f44a0f8a86ec323c5f91b6ceb5c,GCMagicc,Apache-2.0,workflow and outputs,audit only,absent from authoritative manuscript
older A5 archive,none,ada-30,data/nicolaiplots/plotsA5.tar,content-hash snapshot,654663680,a6db6de656fec00245c6a91336249a020023ae5a266e5eec707e56ab2c2eedfd,unresolved A5 identity,CC-BY-4.0,archive,inventory only,model identity conflicts with authoritative T1 GCMagicc-CE selection
operational caches and database copies,none,ada-30,data/metric_databases and data/archived_metric_databases,inventory-2026-07-26,0,not-applicable,GCMagicc evaluation suite,CC-BY-4.0,operational inventory,not promoted,duplicates caches and mutable intermediates
