topic,manuscript_reference,source_snapshot,source_path,source_revision_or_archive_hash,bytes,sha256,model_variant,licence,provenance_level,disposition,remaining_blocker
emergent archive copy A,emergent constraints,archived evaluation tree,data/nicolaiplots/plots.tar,archive-sha256,559450108,43923f2cf9563ec19273ad98a7422737448749ed7f8d6bddb92e5e590f8ef36c,GCMagicc-PM,CC-BY-4.0,archive,external duplicate archive,raw CMIP6 ERA5 and checkpoint to trend provenance unavailable
emergent archive copy B,emergent constraints,archived evaluation tree,data/nicolaiplots/plotsT1.tar,archive-sha256,559450108,43923f2cf9563ec19273ad98a7422737448749ed7f8d6bddb92e5e590f8ef36c,GCMagicc-PM,CC-BY-4.0,archive,external duplicate archive,raw CMIP6 ERA5 and checkpoint to trend provenance unavailable
emergent model trends,emergent constraints,archived evaluation tree,data/nicolaiplots/plotsT1/plots_emergent_constraint/figchangeeraSsmall_1/trends_ssp_True_6.csv,archive-member,43356,eafe8ec0c39f15f74a6d5cf626b9a21b657eb5b64988719c6e089a573eed67fa,GCMagicc-PM,CC-BY-4.0,prepared data,committed normalized copy,none for prepared-data plotting
resolution sensitivity,resolution sensitivity,archived evaluation tree,data/nicolaiplots/plotsT1/plots_resolutions/RESOLUTIONPLOTS/run_meta.json,archive-member,1218,48f3e7eb595767ec5bde1079cca77f396dc31f3abac1e253f86b9e98970d980c,GCMagicc,CC-BY-4.0,run metadata,normalized metadata and ten PDFs committed,gcmagicc-checkpoints required for raw recomputation; legacy plotsT1 path contains A5-lineage output
aerosol sensitivity,aerosol sensitivity,archived evaluation tree,data/nicolaiplots/plotsT1/plots_aerosol/DAER3_tasmax_mean/aer_ERF_matrix_3xn_shared_cbar.pdf,archive-member,1544364,1ce66f097dc5319f85b61c11323d7343a48bdb9e689a088ee6caabb761d4204d,GCMagicc,CC-BY-4.0,figure plus generator,eleven maps combined PDF and normalized source committed,2015-2024 period remains provisional; gcmagicc-checkpoints external; legacy plotsT1 path contains A5-lineage output
GCMagicc-XS monthly predictions,GCMagicc-XS extrapolation,archived evaluation tree,data/GCMagicc-XS_data/full_monthly_results.csv,content-hash snapshot,1528623568,9436752a1d2a0b2af0d707bab9776d4cc8f874968cc2ad472c8ad16c4a5dca68,GCMagicc-XS,CC-BY-4.0,raw plotted data,not redistributed in v1.0.1; deterministic compact plotted points committed,exact identity retained for a possible future Zenodo version
validation metrics database,observational alignment and legacy validation panels,archived evaluation tree,data/metric_databases/metrics.sqlite snapshot 2026-04-20,content-hash snapshot,11919757312,34feda39f369142300224773efde1c5e80c32133cc4c324d20de83403239fb03,GCMagicc evaluation suite,CC-BY-4.0,audited historical database,external and linked to frozen audit,validation-metrics-sqlite publication
validation diagnostics metrics database,validation diagnostics,source evaluation tree,data/metric_databases/metrics.sqlite,content-hash snapshot 2026-08-21,12056313856,70cba2cb782e8061ebfe4e6ef9bf47cf4a6a0e7f160f91ea1851780e54036150,GCMagicc evaluation suite,CC-BY-4.0,validated database,external with immutable rebuild validation committed,validation-diagnostics-metrics-sqlite-v20260821 publication
validation diagnostics energy-distance database,validation diagnostics,source evaluation tree,data/edist_databases/edist.sqlite,content-hash snapshot 2026-08-21,2697842688,0bae785e0c539dfd2a12f576a40eb8723635838a1c25ea5cf77be691bed31352,GCMagicc evaluation suite,CC-BY-4.0,validated promoted database,external with immutable rebuild validation committed,validation-diagnostics-edist-sqlite-v20260821 publication
validation diagnostics,validation diagnostics,source evaluation tree,data/manuscript_figures/validation_diagnostics/publication_set_v100/v100/main/validation_diagnostics_main_v100_20260821_1121.pdf,checkout 8b30bcd plus generator snapshots,1453939,a4b77df0b436a7335a12ec4b7380faee69a642067036eb348ecbbbab67d6085e,GCMagicc,CC-BY-4.0,authoritative August 21 publication set,current main PDF and supplementary draws s01-s10 committed,current metrics and energy-distance databases remain external
observational alignment,observational alignment,source evaluation tree,data/manuscript_figures/observational_alignment/observational_alignment_v100_20260827_221422.json,gcmmagicc revision c5c3d9f plus generator sha256 8b4de15fc90a1e8675ec6137c1f331e93ad7c1745779d4af45c2cbf6262cd238; generated immediately before containing commit,1171504,011c5d832fcc485ff097043bfae8c0c77a0abb0b820f820ce752e50af3aa4ba0,GCMagicc,CC-BY-4.0,authoritative August 27 bundle,normalized JSON panel tables PDF and PNG committed,raw validation database remains external
SPEI sensitivity,SPEI sensitivity,source evaluation tree,data/spei_sensitivity/iran_smile_full_20260722/period_attribution.csv,gcmmagicc revision 16c9d72,1418805,4b53bf6533192b81402147bbd58e7527d1869d00d5459fc5d78880bf62982525,GCMagicc and GCMagicc-CE,CC-BY-4.0,prepared data,normalized period and reference tables plus semantic PDF committed,canonical untracked SMILE manifest remains internal
crop failure,none,archived evaluation tree,data/manuscript_figures/figure3_crop_failure/Figure3_CropFailure.png,content-hash snapshot,177704,bd55eee4e8af48396e48c6b26e91b2d9e3a97e36df5a22696696fac77af5da9e,GCMagicc,CC-BY-4.0,figure only,excluded by author instruction,not used in authoritative manuscript
ten-variable scenario projections,none,archived evaluation tree,notebooks/1025_FigureSX_ScenarioProjections_pervar.py,gcmmagicc revision 16c9d72,38724,be7c3609cc9822d598a26cfb6386ceac1ceb4f44a0f8a86ec323c5f91b6ceb5c,GCMagicc,Apache-2.0,workflow and outputs,audit only,absent from authoritative manuscript
older A5 archive,none,archived evaluation tree,data/nicolaiplots/plotsA5.tar,content-hash snapshot,654663680,a6db6de656fec00245c6a91336249a020023ae5a266e5eec707e56ab2c2eedfd,GCMagicc,CC-BY-4.0,archive,inventory only,redundant historical archive; selected A5 artifacts and exact source hashes are frozen separately
operational caches and database copies,none,archived evaluation tree,data/metric_databases and data/archived_metric_databases,inventory-2026-07-26,0,not-applicable,GCMagicc evaluation suite,CC-BY-4.0,operational inventory,not promoted,duplicates caches and mutable intermediates
